model,split,MAE,RMSE,R2
linear_bic,train,531.7938582241577,728.6301343829576,0.9902977271673424
linear_bic,val,2444.636397649265,3589.5463960434304,0.8263884998258851
linear_bic,test,2783.1648824842,4882.289746350901,0.698054990083924
ridge,train,1879.6059932476376,2704.404339217524,0.8663396869638104
ridge,val,2176.1437858332592,3363.04433725391,0.8476071702262462
ridge,test,2740.724017729538,3932.558881631839,0.8041014482771742
lasso,train,1607.3798912186269,2147.217762731178,0.9157419491951495
lasso,val,2327.5662605452317,3403.213561521712,0.8439449762866457
lasso,test,2307.516077153252,3547.5767977943,0.8405794258258836
elastic_net,train,1935.25769586633,2806.8048224745266,0.8560261382161489
elastic_net,val,2194.2041057989272,3407.9831095515196,0.8435072526540173
elastic_net,test,2785.465939343897,4010.4200760797594,0.7962674182615903
